Date,t_mean,Temperature,Humidity,heater_onOff,T_set,is_sitting,T00_is_chair,T01_is_chair,T02_is_chair,PID Output,consumption
19.58.2021 21:58:44,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.983289124668435
19.58.2021 21:58:49,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9818181818181824
19.58.2021 21:58:54,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9803664921465964
19.58.2021 21:58:59,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9789336801040314
19.59.2021 21:59:04,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9775193798449613
19.59.2021 21:59:09,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9761232349165594
19.59.2021 21:59:14,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9747448979591837
19.59.2021 21:59:19,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9733840304182513
19.59.2021 21:59:24,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9720403022670028
19.59.2021 21:59:30,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.970713391739675
19.59.2021 21:59:35,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.969402985074627
19.59.2021 21:59:40,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.968108776266996
19.59.2021 21:59:45,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9668304668304666
19.59.2021 21:59:50,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.9655677655677652
19.59.2021 21:59:55,23.799999999999997,24.50,64.00,0,30.00,1,23.70,23.90,23.80,100.00,2.964320388349514
19.00.2021 22:00:12,32.8,27.50,80.00,1,30.00,0,50.70,23.90,23.80,100.00,0
19.01.2021 22:01:03,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.01.2021 22:01:08,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.01.2021 22:01:13,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.01.2021 22:01:18,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.01.2021 22:01:23,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.07.2021 22:07:46,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.07.2021 22:07:51,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.07.2021 22:07:56,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.08.2021 22:08:01,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.08.2021 22:08:06,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.09.2021 22:09:22,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.09.2021 22:09:27,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.09.2021 22:09:32,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
19.09.2021 22:09:37,32.8,27.50,50.00,1,30.00,0,50.70,23.90,23.80,13.00,0
